Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2004-12-24;3;27;29;4;37;6;5;1;10000000
2004-12-17;49;22;19;15;46;9;2;1;26215627
2004-11-26;24;1;34;4;36;8;6;1;43756502
2004-10-22;9;25;1;40;23;3;9;1;25059130
2004-01-10;48;20;45;21;12;6;5;1;29785269
2004-06-08;5;35;44;15;24;6;5;1;24746858
2004-06-18;28;2;40;23;43;6;2;1;12286876
2004-04-06;41;42;34;13;9;7;3;1;12488171
2004-05-21;37;39;29;15;49;4;9;1;10000000
2004-05-14;32;3;1;39;21;2;6;1;33816137
2004-09-04;23;19;10;1;4;2;8;1;25556285
2004-05-03;39;37;4;7;33;5;1;1;20678070
2004-02-13;32;16;29;41;36;9;7;1;15000000
2005-11-11;41;16;36;42;15;5;3;1;45117030
2005-10-14;10;19;11;23;20;6;1;1;15000000
2005-07-10;26;44;21;13;2;3;9;2;15000000
2005-09-30;11;50;48;6;47;1;6;4;25066380
2005-09-16;19;38;12;13;21;3;9;1;75888514
2005-07-29;50;3;19;49;26;5;4;1;115436126
2005-05-20;28;6;47;7;13;8;5;1;43020745
2005-04-22;13;10;24;47;3;9;5;2;23749558
2005-08-04;31;50;25;11;7;3;1;1;64040749
2005-02-18;32;46;20;21;26;8;9;1;10000000
2005-11-02;11;13;25;32;50;7;4;1;34776948
2005-01-14;11;14;29;6;19;3;1;2;26007362
2006-12-29;14;9;6;13;35;3;4;0;66983488
2006-12-22;20;11;43;9;38;2;3;0;53119776
2006-12-15;35;37;9;42;23;3;7;0;39640847
2006-08-12;47;36;17;16;18;1;2;0;26982938
2006-01-12;16;37;8;41;4;2;5;0;15000000
2006-11-24;8;5;40;25;17;5;1;2;15000000
2006-11-17;36;12;33;22;32;2;6;0;183109057
2006-10-11;36;30;14;27;21;2;3;0;153564446
2006-03-11;13;11;44;24;49;9;3;0;131523150
2006-10-27;3;50;44;4;8;8;7;0;113230830
2006-10-20;10;34;47;19;45;6;3;0;96837646
2006-10-13;2;32;38;41;25;5;3;0;82724345
2006-06-10;5;35;11;22;38;7;8;0;69208821
2006-09-29;1;3;24;6;18;5;8;0;59132969
2006-09-22;30;45;49;29;10;8;3;0;47213250
2006-09-15;10;49;26;6;16;7;9;0;35980458
2006-08-09;12;10;32;33;1;8;1;0;25256582
2006-01-09;25;50;7;45;3;9;6;0;15000000
2006-08-25;47;10;28;48;40;8;6;1;57414511
2006-08-18;37;40;50;12;39;1;2;0;45929071
2006-11-08;47;31;46;28;27;5;2;0;35197614
2006-04-08;26;15;32;14;1;7;3;0;24977577
2006-07-28;3;43;29;8;12;6;7;0;15000000
2006-07-21;50;4;38;2;9;8;6;1;25042525
2006-07-14;1;31;7;17;36;8;2;0;15000000
2006-07-07;35;9;7;43;18;7;5;2;68408266
2006-06-30;16;6;15;40;43;1;2;0;58765947
2006-06-23;44;30;9;21;43;9;1;0;46811687
2006-06-16;26;36;1;16;30;9;3;0;35662152
2006-09-06;3;34;39;15;12;4;6;0;25187106
2006-02-06;41;7;48;27;8;6;1;0;15000000
2006-05-26;21;41;12;2;49;3;7;2;15000000
2006-05-19;49;34;25;3;5;8;5;1;15000000
2006-12-05;23;5;20;34;50;1;5;2;25640375
2006-05-05;8;50;16;4;14;9;3;0;15000000
2006-04-28;17;5;33;22;10;7;5;4;25811931
2006-04-21;46;1;22;20;37;1;9;0;15000000
2006-04-14;34;35;26;16;49;6;2;1;25915863
2006-07-04;13;12;29;50;44;4;5;0;15000000
2006-03-31;50;3;45;20;31;7;6;1;75753123
2006-03-24;17;47;28;33;35;4;9;0;65117842
2006-03-17;50;44;5;45;32;7;1;0;51865203
2006-10-03;1;33;21;45;49;4;8;0;39080314
2006-03-03;5;44;10;8;3;3;5;0;26842720
2006-02-24;18;19;1;47;11;7;3;0;15000000
2006-02-17;4;23;38;24;26;4;2;1;27813382
2006-10-02;5;38;6;48;50;6;7;0;15000000
2006-03-02;30;39;9;21;50;3;1;3;183573077
2006-01-27;9;21;15;40;49;4;1;0;152882223
2007-12-28;45;31;20;22;21;9;7;0;15000000
2007-12-21;37;7;44;28;9;7;6;1;27716872
2007-12-14;8;30;36;25;44;4;3;0;15000000
2007-07-12;48;43;4;2;32;1;7;1;27552424
2007-11-30;38;20;12;19;30;9;7;0;15000000
2007-11-23;22;2;48;29;10;9;3;1;27375964
2007-11-16;23;18;33;37;9;1;8;0;15000000
2007-09-11;14;25;36;5;22;6;5;2;15000000
2007-02-11;40;16;3;19;18;2;1;1;41136124
2007-10-26;20;7;38;40;43;8;1;0;27610682
2007-10-19;7;18;34;35;40;7;8;0;15000000
2007-12-10;36;47;21;32;46;3;4;2;15000000
2007-05-10;20;27;35;44;11;5;2;5;15000000
2007-09-28;22;34;44;30;35;4;5;0;130000000
2007-09-21;35;37;17;1;32;8;1;1;27247062
2007-09-14;33;29;5;9;11;7;9;0;15000000
2007-07-09;42;3;34;2;33;5;3;1;15000000
2007-08-31;22;37;23;18;6;6;5;1;39496528
2007-08-24;16;3;42;1;48;2;3;0;26677818
2007-08-17;2;13;42;3;38;7;8;0;15000000
2007-10-08;40;43;49;42;23;6;2;1;52630236
2007-03-08;41;33;37;30;10;1;8;0;39185012
2007-07-27;4;29;21;1;41;8;7;0;27731341
2007-07-20;50;26;10;21;25;9;4;0;15000000
2007-07-13;13;9;31;15;48;6;3;1;56945074
2007-06-07;39;41;4;19;5;9;8;0;39898280
2007-06-29;28;8;33;45;12;1;3;0;26816658
2007-06-22;22;17;16;11;34;5;6;0;15000000
2007-06-15;5;14;40;7;21;3;8;1;26938896
2007-08-06;15;17;25;45;1;8;2;0;15000000
2007-01-06;22;41;42;37;6;6;9;1;15000000
2007-05-25;49;26;50;29;25;8;7;1;15000000
2007-05-18;49;37;34;26;39;2;6;1;15000000
2007-11-05;12;26;49;7;29;6;2;3;53347664
2007-04-05;17;41;35;6;45;1;5;0;39605256
2007-04-27;44;18;7;36;27;1;2;0;26851565
2007-04-20;41;26;32;45;23;3;7;0;15000000
2007-04-13;20;41;38;7;25;3;7;1;15000000
2007-06-04;41;48;29;23;15;6;3;1;26945909
2007-03-30;19;9;46;17;41;1;8;0;15000000
2007-03-23;43;17;5;40;13;3;1;1;41023864
2007-03-16;45;4;31;49;14;9;4;0;27699321
2007-09-03;43;25;3;2;48;9;6;0;15000000
2007-02-03;3;16;48;34;38;8;5;2;42201702
2007-02-23;20;2;22;18;15;5;2;0;28224030
2007-02-16;19;39;20;50;8;6;9;0;15000000
2007-09-02;36;16;46;30;14;8;2;1;100000000
2007-02-02;36;14;27;23;30;1;6;1;27173863
2007-01-26;38;11;23;15;30;4;9;0;15000000
2007-01-19;27;5;13;33;42;4;2;1;15000000
2007-12-01;14;8;25;19;11;3;5;1;15000000
2007-05-01;17;45;36;29;19;6;5;2;78312155
2008-12-26;44;26;2;1;50;1;7;0;26758047
2008-12-19;29;50;46;28;40;5;7;0;15000000
